X,dist,h_index,humanmade_pass,humanmade_response,memorability,modal_response,outdoors_pass,outdoors_response,proportion_response,scaled_emotional,scaled_memory_hits,scaled_name,score_emotional,score_humanmade,score_outdoors,score_shoebox,sd_emotional,sd_humanmade,sd_outdoors,sd_shoebox,shoebox_pass,shoebox_response,stimulus,unique,newname
1410.0,0.2408073516931054,3.794653473544342,1.0,human-made,0.07682955506063124,dress form,1.0,indoors,0.16666666666666666,0.563750714694111,0.7704636519748139,0.9576901086335048,-0.0182453129568087,1.0,0.0,0.28571428571428603,0.976098453536456,0.0,0.0,0.48795003647426705,0.0,,MannequinBust.jpg,1.0,A/A10.jpg
33.0,0.25038699466680137,2.6078612261419982,1.0,human-made,0.01584381712644605,sugar,1.0,indoors,0.3684210526315789,0.343053173241852,0.5409273039496281,0.614065180102916,-0.30172063238672,1.0,0.153846153846154,0.625,0.657297243996158,0.0,0.36794648440312,0.517549169506766,0.0,,Bowl_Sugar.jpg,1.0,A/A11.jpg
1620.0,0.25773748831548254,2.794788541104806,1.0,human-made,0.08319033300268737,bow and arrow,1.0,outdoors,0.2631578947368421,0.6255002858776441,0.7910704064109902,0.6809605488850772,0.0854183961015029,1.0,0.875,0.0,0.760664177303527,0.0,0.353553390593274,0.0,1.0,larger than a shoebox,Archery_ArrowsBows.jpg,1.0,A/A12.jpg
1019.0,0.27030568610206934,2.657742726504889,1.0,human-made,0.06421121163700112,speed limit sign,1.0,outdoors,0.2777777777777778,0.31903945111492304,0.7195191757298226,0.6386506575185821,-0.327802535389622,1.0,1.0,0.0,0.30682392311520196,0.0,0.0,0.0,1.0,larger than a shoebox,Sign_SpeedLimit25.jpg,0.0,A/A13.jpg
659.0,0.2795080723517263,3.2063410481219243,1.0,human-made,0.050641707213597925,notebook,1.0,indoors,0.4,0.76843910806175,0.6754436176302232,0.8193253287592909,0.332111599717181,1.0,0.0,0.7142857142857142,0.972839002815957,0.0,0.0,0.48795003647426705,0.0,,DayPlanner.jpg,0.0,A/A14.jpg
1713.0,0.2859603923578689,2.6793743705131994,1.0,human-made,-0.018928557790397628,cell phone,0.0,,0.3181818181818182,0.371069182389937,0.3972524327418432,0.6449399656946827,-0.257978796611375,1.0,0.444444444444444,0.7777777777777779,1.22996278834365,0.0,0.52704627669473,0.440958551844098,0.0,,Phone_Flip.jpg,0.0,A/A15.jpg
417.0,0.28940959951803835,2.9057645846554525,1.0,human-made,0.08821418043497757,cleaver,1.0,indoors,0.2222222222222222,0.692967409948542,0.8036634230108758,0.7289879931389366,0.203636677695591,1.0,0.14285714285714302,0.857142857142857,0.696733340280845,0.0,0.3779644730092271,0.3779644730092271,1.0,smaller than a shoebox,Cleaver_Meat.jpg,1.0,A/A16.jpg
1557.0,0.2949479665881115,2.931493167461914,1.0,human-made,0.10249546288626801,mortar and pestle,1.0,indoors,0.4117647058823529,0.656375071469411,0.8420148826559817,0.7369925671812464,0.14686857726858202,1.0,0.0,0.857142857142857,0.838413969925764,0.0,0.0,0.3779644730092271,1.0,smaller than a shoebox,MortarPestle_BlackStone.jpg,0.0,A/A17.jpg
395.0,0.2977620992410226,3.878068268345523,1.0,human-made,0.10403390405658004,food,1.0,indoors,0.17647058823529413,0.502572898799314,0.8454493417286777,0.9685534591194968,-0.108387980413312,0.8888888888888891,0.0,0.857142857142857,0.8391267171624429,0.33333333333333304,0.0,0.3779644730092271,1.0,smaller than a shoebox,Cannoli.jpg,0.0,A/A18.jpg
1469.0,0.30145868837966316,3.683542362433231,1.0,human-made,-0.02061680747091373,moose,0.0,,0.16666666666666666,0.33390508862206997,0.3909559244419004,0.9399656946826758,-0.307984286089954,1.0,0.625,0.857142857142857,0.524102836305569,0.0,0.517549169506766,0.3779644730092271,1.0,smaller than a shoebox,Toy_Moose.jpg,1.0,A/A19.jpg
220.0,0.3029983912700548,2.5868878409958134,1.0,natural,0.0979673822096034,pecan,0.0,,0.35294117647058826,0.46140651801029203,0.8271322266742988,0.6032018296169239,-0.15478633468633302,0.111111111111111,0.24,0.857142857142857,0.388046479546914,0.33333333333333304,0.435889894354067,0.3779644730092271,1.0,smaller than a shoebox,Nuts_Pecan.jpg,1.0,A/A20.jpg
